  0.000  5.8261E+00  3.4143E-05 -4.5162E+00  1.059E+00  1.2335E+01  1.8489E+00
  0.100  5.8242E+00  4.9842E-02 -4.9949E+00  1.059E+00  1.2352E+01  1.8515E+00
  0.200  5.8185E+00  9.8520E-02 -5.4522E+00  1.059E+00  1.2403E+01  1.8593E+00
  0.300  5.8090E+00  1.4491E-01 -5.8881E+00  1.060E+00  1.2483E+01  1.8721E+00
  0.400  5.7956E+00  1.8799E-01 -6.3030E+00  1.061E+00  1.2588E+01  1.8900E+00
  0.500  5.7782E+00  2.2682E-01 -6.6975E+00  1.061E+00  1.2710E+01  1.9127E+00
  0.600  5.7568E+00  2.6065E-01 -7.0724E+00  1.063E+00  1.2840E+01  1.9402E+00
  0.700  5.7312E+00  2.8886E-01 -7.4284E+00  1.064E+00  1.2967E+01  1.9722E+00
  0.800  5.7014E+00  3.1103E-01 -7.7665E+00  1.066E+00  1.3081E+01  2.0087E+00
  0.900  5.6673E+00  3.2690E-01 -8.0876E+00  1.068E+00  1.3170E+01  2.0493E+00
  1.000  5.6288E+00  3.3668E-01 -8.3922E+00  1.070E+00  1.3224E+01  2.0940E+00
  1.100  5.5859E+00  3.4007E-01 -8.6823E+00  1.073E+00  1.3235E+01  2.1426E+00
  1.200  5.5386E+00  3.3759E-01 -8.9585E+00  1.076E+00  1.3196E+01  2.1950E+00
  1.300  5.4869E+00  3.2984E-01 -9.2217E+00  1.079E+00  1.3107E+01  2.2511E+00
  1.400  5.4307E+00  3.1749E-01 -9.4731E+00  1.083E+00  1.2969E+01  2.3108E+00
  1.500  5.3700E+00  3.0147E-01 -9.7133E+00  1.087E+00  1.2788E+01  2.3741E+00
  1.600  5.3047E+00  2.8294E-01 -9.9431E+00  1.091E+00  1.2573E+01  2.4410E+00
  1.700  5.2348E+00  2.6304E-01 -1.0162E+01  1.095E+00  1.2337E+01  2.5114E+00
  1.800  5.1600E+00  2.4290E-01 -1.0369E+01  1.099E+00  1.2095E+01  2.5856E+00
  1.900  5.0804E+00  2.2350E-01 -1.0563E+01  1.103E+00  1.1866E+01  2.6636E+00
  2.000  4.9955E+00  2.0545E-01 -1.0735E+01  1.105E+00  1.1669E+01  2.7455E+00
  2.200  4.7870E+00  1.7499E-01 -1.0954E+01  1.105E+00  1.1467E+01  2.9315E+00
  2.400  4.6024E+00  1.5308E-01 -1.1033E+01  1.253E+00  6.9062E+00  3.1152E+00
  2.600  4.5462E+00  1.2128E-01 -1.1248E+01  1.315E+00  5.8569E+00  3.2479E+00
  2.800  4.4914E+00  1.0308E-01 -1.1325E+01  1.345E+00  5.3896E+00  3.3846E+00
  3.000  4.4261E+00  9.9203E-02 -1.1247E+01  1.347E+00  5.1910E+00  3.5305E+00
  3.200  4.3543E+00  1.0947E-01 -1.1108E+01  1.331E+00  5.1314E+00  3.6826E+00
  3.400  4.2748E+00  1.3016E-01 -1.1005E+01  1.305E+00  5.1562E+00  3.8401E+00
  3.600  4.1881E+00  1.5884E-01 -1.0940E+01  1.277E+00  5.2380E+00  4.0025E+00
  3.800  4.0954E+00  1.9387E-01 -1.0914E+01  1.248E+00  5.3614E+00  4.1692E+00
  4.000  3.9977E+00  2.3741E-01 -1.0929E+01  1.222E+00  5.5169E+00  4.3397E+00
  4.200  3.8962E+00  2.8545E-01 -1.0966E+01  1.198E+00  5.6980E+00  4.5135E+00
  4.400  3.7906E+00  3.3937E-01 -1.1038E+01  1.175E+00  5.9006E+00  4.6901E+00
  4.600  3.6821E+00  3.9634E-01 -1.1128E+01  1.155E+00  6.1215E+00  4.8693E+00
  4.800  3.5709E+00  4.5390E-01 -1.1222E+01  1.137E+00  6.3582E+00  5.0506E+00
  5.000  3.4580E+00  5.0932E-01 -1.1323E+01  1.119E+00  6.6091E+00  5.2339E+00
  5.200  3.3437E+00  5.6038E-01 -1.1419E+01  1.103E+00  6.8727E+00  5.4188E+00
  5.400  3.2296E+00  6.0511E-01 -1.1510E+01  1.090E+00  7.1479E+00  5.6053E+00
  5.600  3.1169E+00  6.4214E-01 -1.1594E+01  1.075E+00  7.4338E+00  5.7930E+00
  5.800  3.0057E+00  6.7041E-01 -1.1671E+01  1.062E+00  7.7295E+00  5.9818E+00
  6.000  2.8967E+00  6.9168E-01 -1.1741E+01  1.050E+00  8.0345E+00  6.1717E+00
  6.500  2.6361E+00  7.2325E-01 -1.1901E+01  1.026E+00  8.8342E+00  6.6500E+00
  7.000  2.3898E+00  7.4085E-01 -1.2046E+01  1.006E+00  9.6821E+00  7.1326E+00
  7.500  2.1516E+00  7.4735E-01 -1.2188E+01  9.925E-01  1.0573E+01  7.6183E+00
  8.000  1.9187E+00  7.3380E-01 -1.2319E+01  9.813E-01  1.1505E+01  8.1064E+00
  8.500  1.6958E+00  7.0271E-01 -1.2441E+01  9.719E-01  1.2473E+01  8.5965E+00
  9.000  1.4853E+00  6.6441E-01 -1.2556E+01  9.640E-01  1.3476E+01  9.0880E+00
  9.500  1.2872E+00  6.2722E-01 -1.2668E+01  9.578E-01  1.4512E+01  9.5808E+00
 10.000  1.0989E+00  5.8959E-01 -1.2779E+01  9.532E-01  1.5579E+01  1.0075E+01
 11.000  7.4140E-01  5.0208E-01 -1.3003E+01  9.448E-01  1.7803E+01  1.1064E+01
 12.000  4.1088E-01  4.2534E-01 -1.3225E+01  9.346E-01  2.0138E+01  1.2056E+01
 13.000  1.0225E-01  3.5941E-01 -1.3448E+01  9.279E-01  2.2576E+01  1.3050E+01
 14.000 -1.8644E-01  3.0266E-01 -1.3667E+01  9.240E-01  2.5112E+01  1.4045E+01
 15.000 -4.5260E-01  2.5862E-01 -1.3881E+01  9.222E-01  2.7740E+01  1.5041E+01
 16.000 -7.0168E-01  2.2047E-01 -1.4095E+01  9.219E-01  3.0455E+01  1.6037E+01
